,Market Cap,Current Price,Min Price,Max Price,Total Gain (1YR),Description,Logo,Category,Features,Website,Current Supply,Total Supply,Team Size,ICO Raise
Bitcoin,42B,2808,650,2922,3.49538461538462,Main cryptocurrency,https://files.coinmarketcap.com/static/img/coins/16x16/bitcoin.png,Cryptocurrency,Original Blockchain,https://www.bitcoin.com,"16,600,475","21,000,000",>20,
Ethereum,19B,224,12,400,32.3333333333333,"Fast growing etheream technology with smart contracts, many tech backers",https://files.coinmarketcap.com/static/img/coins/32x32/ethereum.png,Distributed Computer blockchain technology,Smart Contract,https://www.ethereum.org/,"94,926,507",,>20,
Ripple,7B,0.19,0.005,0.39,77,Well funded company that allows to send payments across networks,https://files.coinmarketcap.com/static/img/coins/32x32/ripple.png,Payment protocol,Global transactions,https://ripple.com/,"38,343,841,883","99,994,523,265",>50,
Litecoin,2B,44,3.7,50,12.5135135135135,"2nd oldest crypto, improves upon Bitcoin",https://files.coinmarketcap.com/static/img/coins/32x32/litecoin.png,Cryptocurrency,"Blockchain, Lightning Network, ",https://litecoin.com/,"53,205,157","84,000,000",10-20,
NEM,1.4B,0.17,0.005,0.28,55,Cryptocurrency out of Japan,https://files.coinmarketcap.com/static/img/coins/32x32/nem.png,Cryptocurrency,"Blockchain, POI (Proof of Importance)",https://nem.io/,"8,999,999,999",,10-20,
Ethereum Classic,1.4B,15.62,0.72,22.53,30.2916666666667,Fork of ethereum,https://files.coinmarketcap.com/static/img/coins/32x32/ethereum-classic.png,Ethereum fork,Smart Contract,https://ethereumclassic.github.io/,"96,091,949",,1-10,
Dash,1.4B,193,9,222,23.6666666666667,Similar to bitcoin with advanced features. Big mining community,https://files.coinmarketcap.com/static/img/coins/32x32/dash.png,Cryptocurrency,"Blockchain, Private transactions",https://www.dash.org/,"7,593,590","18,900,000",>20,
IOTA,765M,0.27,0.158,0.57,2.60759493670886,"Internet of Things economy, technology layers transacting between each other",https://files.coinmarketcap.com/static/img/coins/32x32/iota.png,Cryptocurrency,Micro device transactions,https://iota.org/,"2,779,530,283","2,779,530,283",5-10,
HShare,1.05B,31.52,14,41,1.92857142857143,Decentralized cryptocurrency with cross platform  exchange between blockchains,https://files.coinmarketcap.com/static/img/coins/32x32/hshare.png,Cryptocurrency,"Side chain, DAG “Directed Acyclic Graph” based",https://h.cash/,"33,680,370","42,080,370",1-10,
Gnosis,2B,197,91,335,2.68131868131868,Prediction market built on ethereum currency,https://files.coinmarketcap.com/static/img/coins/32x32/gnosis-gno.png,Prediction,Ethereum,https://gnosis.pm/,"1,104,590","10,000,000",10-20,
Monero,683M,46,2,58,28,"Privacy based bitcoin, mining supposed to finish by 2022 so time for it",https://files.coinmarketcap.com/static/img/coins/32x32/monero.png,Cryptocurrency,Privacy,https://getmonero.org/,,,">20, 116 contributors github",
Stratis,508M,5.17,0.02,10.5,524,Blockchain as a service platform built on top of C#,https://files.coinmarketcap.com/static/img/coins/32x32/stratis.png,Smart Contract,C#,https://stratisplatform.com/,,,10-15,
EOS,483M,1.97,1.06,4.10,2.86792452830189,Block.one company whose goal is to bring blockchain to big business,https://files.coinmarketcap.com/static/img/coins/32x32/eos.png,Smart Contract,"Vertical, Horizontal scaling",https://eos.io,,,"39 Contributors, 1200 commits",
BitConnect,417M,66.49,0.13,68,522.076923076923,Blockchain cryptocurrency,https://files.coinmarketcap.com/static/img/coins/32x32/bitconnect.png,Cryptocurrency,,https://bitconnectcoin.co,,,,
NEO/ANS,375M,7.57,0.1,9.22,91.2,China’s leading cryptocurrency,https://files.coinmarketcap.com/static/img/coins/32x32/neo.png,Cryptocurrency,"Smart contracts, multiple language support",https://neo.org,,,,
Status,390M,0.06,0.05,0.08,0.6,Mobile ethereum client,https://files.coinmarketcap.com/static/img/coins/32x32/status.png,Browser,"Browser, Messenger",https://status.im,,,10-20,
BitShares,331M,0.13,0.003,0.38,125.666666666667,"Applies bitcoin concepts to financial transactions. Can peg bit shares to an underlying asset, so you hold the crypto and not the asset",https://files.coinmarketcap.com/static/img/coins/32x32/bitshares.png,"Cryptocurrency, Exchange",,https://bitshares.org,,,,
Steem,315M,1.25,0.11,2.45,21.2727272727273,Blockchain social media platform. Earn tokens by sharing content,https://files.coinmarketcap.com/static/img/coins/32x32/steem.png,Social Network,"Blockchain, social network",https://steem.io,,,10-20,
Qtum,354M,6,4.63,16.67,2.60043196544277,"China based, protocol to support both ethereum smart contracts and bitcoin blockchain",https://files.coinmarketcap.com/static/img/coins/32x32/qtum.png,Blockchain technology,Smart contracts,https://qtum.org/,,,,
Veritaseum,346M,168,25,220,7.8,Software based P2P capital markets  without brokerages and banks,https://files.coinmarketcap.com/static/img/coins/32x32/veritaseum.png,"Software services, Financial advisory",,http://veritas.veritaseum.com,,,1-5,
Zcash,337M,183,48,395,7.22916666666667,Privacy with blockchain transactions,https://files.coinmarketcap.com/static/img/coins/32x32/zcash.png,Cryptocurrency,Privacy,https://z.cash,,,,
Iconomi,248M,2.86,0.18,4.66,24.8888888888889,Digital market place for digital assets,https://files.coinmarketcap.com/static/img/coins/32x32/iconomi.png,Exchange,Digital asset management,https://www.iconomi.net,,,,
Waves,296M,2.96,0.16,6.72,41,2.0 decentralized network,https://files.coinmarketcap.com/static/img/coins/32x32/waves.png,Exchange,"Blockchain, Decentralized Exchange",https://wavesplatform.com,,,,
Bytecoin,227M,0.001237,0.000047,0.0042,88.3617021276596,,https://files.coinmarketcap.com/static/img/coins/32x32/bytecoin-bcn.png,Cryptocurrency,Privacy,https://bytecoin.org,,,,
Siacoin,216M,0.00769,0.0002,0.021,104,Decentralized cloud file storage,https://files.coinmarketcap.com/static/img/coins/32x32/siacoin.png,Decentralized Storage,Decentralized cloud file storage,http://sia.tech/about/,,,,
Lisk,202M,1.82,0.11,3.56,31.3636363636364,"Blockchain platform , team created from ex ethereum developers",https://files.coinmarketcap.com/static/img/coins/32x32/lisk.png,Application Framework,Decentralized application platform for developers,https://lisk.io,,,,
Golem,192M,0.23,0.009,0.65,71.2222222222222,,,,,,,,,
Dogecoin,189M,0.0017,0.0002,0.0038,18,,,,,,,,,
Augur,184M,16.74,2,35,16.5,,,,,,,,,
Stellar Lumens,171M,0.016,0.002,0.055,26.5,,,,,,,,,
Factom,145M,16.63,0.1,31,309,,,,,,,,,
MaidSafeCoin,137M,0.3,0.1,0.6,5,,,,,,,,,
Byteball,175M,480,9,945,104,,,,,,,,,
DigiByte,143M,0.016,0.0002,0.06,299,,,,,,,,,
GameCredits,150M,2.37,0.09,4.66,50.7777777777778,,,,,,,,,
Decred,139M,25.71,0.5,47,93,,,,,,,,,
OmiseGo,120M,1.21,0.38,1.45,2.81578947368421,,,,,,,,,
DigixDAO,122M,61,9.50,109,10.4736842105263,,,,,,,,,
PIVX,102M,1.9,0.003,2.09,695.666666666667,,,,,,,,,
Ardor,105M,0.105,0.009,0.29,31.2222222222222,,,,,,,,,
MCAP,111M,2.14,2.2,7.2,2.27272727272727,,,,,,,,,
Basic Attention Token,100M,0.1,0.06,0.28,3.66666666666667,,,,,,,,,
Nxt,99M,0.099,0.006,0.24,39,,,,,,,,,
TenX,92M,0.88,0.78,1.12,0.435897435897436,,,,,,,,,
Komodo,89M,0.88,0.009,2.36,261.222222222222,,,,,,,,,
Populous,106M,2.88,2.5,8.5,2.4,,,,,,,,,
Metal,76M,3.63,1.4,4.9,2.5,,,,,,,,,
Bitdeal,32M,0.1,0.04,0.38,8.5,,,,,,,,,
Bancor,72M,1.78,1.7,4.13,1.42941176470588,,,,,,,,,
MobileGo,79M,0.82,0.58,2.45,3.22413793103448,,,,,,,,,
FirstBlood,55M,0.65,0.06,2.58,42,,,,,,,,,
SingularDTV,58M,0.01,0.01,0.28,27,,,,,,,,,
Lykke,59M,0.24,0.04,0.41,9.25,,,,,,,,,
Aragon,54M,1.60,1.4,3.8,1.71428571428571,"Decentralized governance platform that allows for voting, accounting, project management",,,,,,,,
Civic,54M,0.16,0.15,0.23,0.533333333333333,Decentralized online identity service,,,,,,,,
BitcoinDark,56M,44.22,2.27,110,47.4581497797357,,,,,,,,,
SysCoin,53M,0.10,0.01,0.21,20,,,,,,,,,
Metaverse Entrophy,51M,2.27,1.34,5.73,3.27611940298507,,,,,,,,,
DECENT,45M,0.88,0.7,1.61,1.3,,,,,,,,,
Nexus,42M,0.83,0.02,1.24,61,,,,,,,,,
Ark,47M,0.45,0.06,1.10,17.3333333333333,Decentralized online casino games. Seems stupid,,,,,,,,
LEOcoin,43M,0.49,0.4,0.6,0.5,,,,,,,,,
Blocknet,39M,9.92,0.2,11,54,,,,,,,,,
Particl,40M,5.33,5,7.5,0.5,,,,,,,,,
FunFair,45M,0.011,0.012,0.22,17.3333333333333,,,,,,,,,
Peercoin,40M,1.67,0.25,3.20,11.8,,,,,,,,,
Emercoin,34M,0.84,0.20,2.11,9.55,,,,,,,,,
Verge,39M,0.003,0.00002,0.0058,289,,,,,,,,,
Etheroll,36M,5.17,1.2,48,39,,,,,,,,,
Ubiq,38M,1.03,0.05,2.87,56.4,,,,,,,,,
Edgeless,33M,0.40,0.03,0.86,27.6666666666667,,,,,,,,,
Asch,32M,0.43,0.02,1.15,56.5,,,,,,,,,
Round,31M,0.037,0.0005,0.23,459,,,,,,,,,
Numeraire,31M,26,18,155,7.61111111111111,,,,,,,,,
ReddCoin,32M,0.0011,0.00002,0.0032,159,,,,,,,,,
IExec RLC,29M,0.36,0.2,1.20,5,,,,,,,,,
Pillar,28M,0.05,0.046,0.07,0.521739130434783,,,,,,,,,
vSlice,29M,0.87,0.05,1.15,22,,,,,,,,,
Wings,27M,0.30,0.02,0.96,47,,,,,,,,,
Humaniq,26M,0.16,0.043,0.21,3.88372093023256,,,,,,,,,
Xaurum,27M,0.21,0.1,0.27,1.7,,,,,,,,,
Melon,26M,44.14,18,114,5.33333333333333,,,,,,,,,
Storj,25M,0.36,0.29,0.89,2.06896551724138,,,,,,,,,
Gulden,26M,0.074,0.002,0.13,64,,,,,,,,,
MonaCoin,25M,0.47,0.025,0.88,34.2,,,,,,,,,
Namecoin,24M,1.66,0.23,3.49,14.1739130434783,,,,,,,,,
LBRY Credits,24M,0.36,0.01,0.90,89,,,,,,,,,
Counterparty ,22M,8.50,1.75,20,10.4285714285714,,,,,,,,,
Peerplays,30M,9.27,4.80,20,3.16666666666667,,,,,,,,,
CloakCoin,17M,3.4,0.038,10.22,267.947368421053,,,,,,,,,
PotCoin,18M,0.085,0.001,0.16,159,,,,,,,,,
BitBay,22M,0.022,0.0005,0.042,83,,,,,,,,,
SIBCoin,19M,1.28,0.01,1.73,172,,,,,,,,,
E-Dinar Coin,31M,0.035,0.02,0.99,48.5,,,,,,,,,
Viacoin,19M,0.87,0.01,1.78,177,,,,,,,,,
Quantum Resistance,16M,0.20,0.18,0.25,0.388888888888889,,,,,,,,,
Omni,17M,30,2.89,74,24.6055363321799,,,,,,,,,
Quantum,16M,0.20,0.2,0.33,0.65,,,,,,,,,
ION,20M,1.28,0.009,2.25,249,,,,,,,,,
Skycoin,17M,3,0.95,4.5,3.73684210526316,,,,,,,,,
GAS,20M,"7,92",7,27,2.85714285714286,This is the currency token for NEO. Might be worth more than ANS/NEO,,,,,,,,
District0x,103M,0.17,0.015,0.17,10.3333333333333,"Decentralized market places, creating eBay with blockchain. Powered by Ethereum, Aragon, and IPFS",,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,